GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder Score,Country/Area,Regional indicator,Year
continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete
,,,,,,class,meta,meta,meta
0.73,1.125,0.269,,0.079,0.061,3.795,Angola,Sub-Saharan Africa,2017
0.85842818,1.10441196,0.049868666,,0.09792649,0.069720335,3.795000076,Angola,Sub-Saharan Africa,2019
0.807,1.101,0.474,0.593,0.183,0.089,5.956,Belize,Latin America and Caribbean,2017
0.907975316,1.081417799,0.450191766,0.547509372,0.240015641,0.096581072,5.955999851,Belize,Latin America and Caribbean,2019
0.796,1.335,0.527,0.541,0.364,0.171,5.082,Bhutan,South Asia,2017
0.813,1.321,0.604,0.457,0.37,0.167,5.082,Bhutan,South Asia,2018
0.885416389,1.340126514,0.495879292,0.501537681,0.474054545,0.17338039,5.011000156,Bhutan,South Asia,2019
0.024,,0.01,0.305,0.218,0.038,3.083,Central African Republic,Sub-Saharan Africa,2017
0.026,,0.105,0.225,0.235,0.035,3.083,Central African Republic,Sub-Saharan Africa,2018
,,0.018772686,0.270842046,0.280876487,0.056565076,2.693000078,Central African Republic,Sub-Saharan Africa,2019
0.069,1.136,0.204,0.312,0.197,0.052,4.245,Congo (Kinshasa),Sub-Saharan Africa,2017
0.094,1.125,0.357,0.269,0.212,0.053,4.418,Congo (Kinshasa),Sub-Saharan Africa,2018
0.092102349,1.229023457,0.191407025,0.235961348,0.246455833,0.060241356,4.28000021,Congo (Kinshasa),Sub-Saharan Africa,2019
1.405,1.29,1.03,0.524,0.246,0.291,5.43,Hong Kong,East Asia,2017
1.438,1.277,1.122,0.44,0.258,0.287,5.43,Hong Kong,East Asia,2018
1.551674843,1.262790918,0.943062425,0.490968645,0.374465793,0.293933749,5.472000122,Hong Kong,East Asia,2019
0.959,1.239,0.691,0.394,0.173,0.052,5.185,North Macedonia,Central and Eastern Europe,2017
0.983,1.294,0.838,0.345,0.185,0.034,5.274,North Macedonia,Central and Eastern Europe,2018
1.064577937,1.207893014,0.644948184,0.325905979,0.253760964,0.060277794,5.175000191,North Macedonia,Central and Eastern Europe,2019
1.229,1.211,0.909,0.495,0.179,0.154,5.835,Northern Cyprus,Western Europe,2017
1.263,1.252,1.042,0.417,0.191,0.162,5.718,Northern Cyprus,Western Europe,2018
1.346911311,1.186303377,0.834647238,0.471203625,0.266845703,0.155353352,5.809999943,Northern Cyprus,Western Europe,2019
1.649,1.303,0.748,0.654,0.256,0.171,6.374,Qatar,Middle East and North Africa,2017
1.684,1.313,0.871,0.555,0.22,0.167,6.374,Qatar,Middle East and North Africa,2018
1.870765686,1.27429688,0.710098088,0.604130983,0.33047387,0.439299256,6.375,Qatar,Middle East and North Africa,2019
0.337,0.608,0.177,0.112,0.224,0.106,3.254,South Sudan,Sub-Saharan Africa,2017
0.306,0.575,0.295,0.01,0.202,0.091,2.853,South Sudan,Sub-Saharan Africa,2018
0.397248626,0.601323128,0.163486004,0.147062436,0.285670817,0.116793513,3.59100008,South Sudan,Sub-Saharan Africa,2019
0.605,1.24,0.312,0.016,0.134,0.082,4.139,Sudan,Sub-Saharan Africa,2017
0.659516692,1.21400857,0.290920824,0.014995855,0.182317451,0.08984752,4.138999939,Sudan,Sub-Saharan Africa,2019
,0.712,0.115,0.674,0.238,0.282,4.982,Somalia,Sub-Saharan Africa,2017
,0.698,0.268,0.559,0.243,0.27,4.668,Somalia,Sub-Saharan Africa,2018
0.022643184,0.721151352,0.113989137,0.602126956,0.291631311,0.282410324,5.151000023,Somalia,Sub-Saharan Africa,2019
0.689,0.382,0.539,0.088,0.376,0.144,3.462,Syria,Middle East and North Africa,2017
0.619,0.378,0.44,0.013,0.331,0.141,3.462,Syria,Middle East and North Africa,2018
0.777153134,0.396102607,0.500533342,0.081539445,0.493663728,0.151347131,3.461999893,Syria,Middle East and North Africa,2019
1.223,1.492,0.564,0.575,0.171,0.019,6.192,Trinidad & Tobago,Latin America and Caribbean,2017
1.231,1.477,0.713,0.489,0.185,0.016,6.192,Trinidad & Tobago,Latin America and Caribbean,2018
1.361355901,1.380228519,0.519983292,0.518630743,0.325296462,0.008964816,6.168000221,Trinidad & Tobago,Latin America and Caribbean,2019
1.305,1.592,0.874,0.681,0.202,0.393,7.632,Finland,Western Europe,2017
1.456,1.582,0.861,0.686,0.286,0.34,7.594,Norway,Western Europe,2017
1.351,1.59,0.868,0.683,0.284,0.408,7.555,Denmark,Western Europe,2017
1.343,1.644,0.914,0.677,0.353,0.138,7.495,Iceland,Western Europe,2017
1.42,1.549,0.927,0.66,0.256,0.357,7.487,Switzerland,Western Europe,2017
1.361,1.488,0.878,0.638,0.333,0.295,7.441,Netherlands,Western Europe,2017
1.33,1.532,0.896,0.653,0.321,0.291,7.328,Canada,North America and ANZ,2017
1.268,1.601,0.876,0.669,0.365,0.389,7.324,New Zealand,North America and ANZ,2017
1.355,1.501,0.913,0.659,0.285,0.383,7.314,Sweden,Western Europe,2017
1.34,1.573,0.91,0.647,0.361,0.302,7.272,Australia,North America and ANZ,2017
1.244,1.433,0.888,0.464,0.262,0.082,7.19,United Kingdom,Western Europe,2017
1.341,1.504,0.891,0.617,0.242,0.224,7.139,Austria,Western Europe,2017
1.01,1.459,0.817,0.632,0.143,0.101,7.072,Costa Rica,Latin America and Caribbean,2017
1.448,1.583,0.876,0.614,0.307,0.306,6.977,Ireland,Western Europe,2017
1.34,1.474,0.861,0.586,0.273,0.28,6.965,Germany,Western Europe,2017
1.324,1.483,0.894,0.583,0.188,0.24,6.927,Belgium,Western Europe,2017
1.576,1.52,0.896,0.632,0.196,0.321,6.91,Luxembourg,Western Europe,2017
1.398,1.471,0.819,0.547,0.291,0.133,6.886,United States,North America and ANZ,2017
1.301,1.559,0.883,0.533,0.354,0.272,6.814,Israel,Middle East and North Africa,2017
2.096,0.776,0.67,0.284,0.186,,6.774,United Arab Emirates,Middle East and North Africa,2017
1.233,1.489,0.854,0.543,0.064,0.034,6.711,Czech Republic,Central and Eastern Europe,2017
1.27,1.525,0.884,0.645,0.376,0.142,6.627,Malta,Western Europe,2017
1.293,1.466,0.908,0.52,0.098,0.176,6.489,France,Western Europe,2017
1.038,1.252,0.761,0.479,0.069,0.095,6.488,Mexico,Latin America and Caribbean,2017
1.131,1.331,0.808,0.431,0.197,0.061,6.476,Chile,Latin America and Caribbean,2017
1.365,1.436,0.857,0.418,0.151,0.078,6.441,Taiwan,East Asia,2017
1.112,1.438,0.759,0.597,0.125,0.063,6.43,Panama,Latin America and Caribbean,2017
0.986,1.474,0.675,0.493,0.11,0.088,6.419,Brazil,Latin America and Caribbean,2017
1.073,1.468,0.744,0.57,0.062,0.054,6.388,Argentina,Latin America and Caribbean,2017
0.781,1.268,0.608,0.604,0.179,0.071,6.382,Guatemala,Latin America and Caribbean,2017
1.093,1.459,0.771,0.625,0.13,0.155,6.379,Uruguay,Latin America and Caribbean,2017
1.379,1.331,0.633,0.509,0.098,0.127,6.371,Saudi Arabia,Middle East and North Africa,2017
1.529,1.451,1.008,0.631,0.261,0.457,6.343,Singapore,Southeast Asia,2017
1.161,1.258,0.669,0.356,0.311,0.059,6.322,Malaysia,Southeast Asia,2017
1.251,1.538,0.965,0.449,0.142,0.074,6.31,Spain,Western Europe,2017
0.96,1.439,0.635,0.531,0.099,0.039,6.26,Colombia,Latin America and Caribbean,2017
1.21,1.537,0.776,0.354,0.118,0.014,6.173,Slovakia,Central and Eastern Europe,2017
